ID;NAME;DESCRIPTION;PARENTCODE;ORDER
516;Palaos;(516) Palaos;;260
517;Timor;(517) Timor;;261
512;Tuvalu;(512) Tuvalu;;262
599;Países de Oceanía sin relación diplomática;(599) Países de Oceanía sin relación diplomática;;263
002;País de Oceanía no determinado;(002) País de Oceanía no determinado;;264
5550;Apátridas;(5550) Apátridas;;46
555;Apátridas;(555) Apátridas;;265
66NC0;No consta;(66NC0) No consta;;47
66NC;No consta;(66NC) No consta;;266
NP00;No procede;(NP00) No procede;;11
NP0;No procede;(NP0) No procede;;48
NP;No procede;(NP) No procede;;267
NC00;No consta;(NC00) No consta;;12
NC0;No consta;(NC0) No consta;;49
NC;No consta;(NC) No consta;;268
_Z;No aplica;No aplica;;
