ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;Mensual;(TOTAL) Mensual;;0
204705;2047-Mayo;(204705) 2047-Mayo;;204705
204706;2047-Junio;(204706) 2047-Junio;;204706
204707;2047-Julio;(204707) 2047-Julio;;204707
204708;2047-Agosto;(204708) 2047-Agosto;;204708
204709;2047-Septiembre;(204709) 2047-Septiembre;;204709
204710;2047-Octubre;(204710) 2047-Octubre;;204710
204711;2047-Noviembre;(204711) 2047-Noviembre;;204711
204712;2047-Diciembre;(204712) 2047-Diciembre;;204712
204601;2046-Enero;(204601) 2046-Enero;;204601
204602;2046-Febrero;(204602) 2046-Febrero;;204602
204603;2046-Marzo;(204603) 2046-Marzo;;204603
204604;2046-Abril;(204604) 2046-Abril;;204604
204605;2046-Mayo;(204605) 2046-Mayo;;204605
204606;2046-Junio;(204606) 2046-Junio;;204606
204607;2046-Julio;(204607) 2046-Julio;;204607
204608;2046-Agosto;(204608) 2046-Agosto;;204608
204609;2046-Septiembre;(204609) 2046-Septiembre;;204609
204610;2046-Octubre;(204610) 2046-Octubre;;204610
204611;2046-Noviembre;(204611) 2046-Noviembre;;204611
204612;2046-Diciembre;(204612) 2046-Diciembre;;204612
204501;2045-Enero;(204501) 2045-Enero;;204501
204502;2045-Febrero;(204502) 2045-Febrero;;204502
204503;2045-Marzo;(204503) 2045-Marzo;;204503
204504;2045-Abril;(204504) 2045-Abril;;204504
204505;2045-Mayo;(204505) 2045-Mayo;;204505
204506;2045-Junio;(204506) 2045-Junio;;204506
204507;2045-Julio;(204507) 2045-Julio;;204507
204508;2045-Agosto;(204508) 2045-Agosto;;204508
204509;2045-Septiembre;(204509) 2045-Septiembre;;204509
204510;2045-Octubre;(204510) 2045-Octubre;;204510
204511;2045-Noviembre;(204511) 2045-Noviembre;;204511
204512;2045-Diciembre;(204512) 2045-Diciembre;;204512
204401;2044-Enero;(204401) 2044-Enero;;204401
204402;2044-Febrero;(204402) 2044-Febrero;;204402
204403;2044-Marzo;(204403) 2044-Marzo;;204403
204404;2044-Abril;(204404) 2044-Abril;;204404
204405;2044-Mayo;(204405) 2044-Mayo;;204405
204406;2044-Junio;(204406) 2044-Junio;;204406
204407;2044-Julio;(204407) 2044-Julio;;204407
204408;2044-Agosto;(204408) 2044-Agosto;;204408
204409;2044-Septiembre;(204409) 2044-Septiembre;;204409
204410;2044-Octubre;(204410) 2044-Octubre;;204410
204411;2044-Noviembre;(204411) 2044-Noviembre;;204411
204412;2044-Diciembre;(204412) 2044-Diciembre;;204412
204301;2043-Enero;(204301) 2043-Enero;;204301
204302;2043-Febrero;(204302) 2043-Febrero;;204302
204303;2043-Marzo;(204303) 2043-Marzo;;204303
204304;2043-Abril;(204304) 2043-Abril;;204304
204305;2043-Mayo;(204305) 2043-Mayo;;204305
204306;2043-Junio;(204306) 2043-Junio;;204306
204307;2043-Julio;(204307) 2043-Julio;;204307
204308;2043-Agosto;(204308) 2043-Agosto;;204308
204309;2043-Septiembre;(204309) 2043-Septiembre;;204309
204310;2043-Octubre;(204310) 2043-Octubre;;204310
204311;2043-Noviembre;(204311) 2043-Noviembre;;204311
204312;2043-Diciembre;(204312) 2043-Diciembre;;204312
204201;2042-Enero;(204201) 2042-Enero;;204201
204202;2042-Febrero;(204202) 2042-Febrero;;204202
204203;2042-Marzo;(204203) 2042-Marzo;;204203
204204;2042-Abril;(204204) 2042-Abril;;204204
204205;2042-Mayo;(204205) 2042-Mayo;;204205
204206;2042-Junio;(204206) 2042-Junio;;204206
204207;2042-Julio;(204207) 2042-Julio;;204207
204208;2042-Agosto;(204208) 2042-Agosto;;204208
204209;2042-Septiembre;(204209) 2042-Septiembre;;204209
204210;2042-Octubre;(204210) 2042-Octubre;;204210
