ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;Andalucía (no usar, se va a eliminar, usar la 44);(TOTAL) Andalucía (no usar, se va a eliminar, usar la 44);;0
C01;Andalucía;(C01) Andalucía;;1
_Z;No aplica;No aplica;;
