ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;TOTAL/Extranjero/España/Resto España/Andalucía/Provincias España;(TOTAL) TOTAL/Extranjero/España/Resto España/Andalucía/Provincias España;;0
00;TOTAL;(00) TOTAL;;1
108;España;(108) España;;2
66;Extranjero;(66) Extranjero;;3
NP000;No procede;(NP000) No procede;;4
NC000;No consta;(NC000) No consta;;5
C01;Andalucía;(C01) Andalucía;108;6
C02;Resto de España;(C02) Resto de España;108;7
04;Almería;(04) Almería;;28
11;Cádiz;(11) Cádiz;;29
14;Córdoba;(14) Córdoba;;30
18;Granada;(18) Granada;;31
21;Huelva;(21) Huelva;;32
23;Jaén;(23) Jaén;;33
29;Málaga;(29) Málaga;;34
41;Sevilla;(41) Sevilla;;35
C01NC;Provincia sin especificar;(C01NC) Provincia sin especificar;;36
22;Huesca;(22) Huesca;C02;37
44;Teruel;(44) Teruel;C02;38
50;Zaragoza;(50) Zaragoza;C02;39
33;Asturias;(33) Asturias;C02;40
07;Islas Baleares/Illes Balears;(07) Islas Baleares/Illes Balears;C02;41
35;Las Palmas;(35) Las Palmas;C02;42
38;Santa Cruz de Tenerife;(38) Santa Cruz de Tenerife;C02;43
39;Cantabria;(39) Cantabria;C02;44
02;Albacete;(02) Albacete;C02;45
13;Ciudad Real;(13) Ciudad Real;C02;46
16;Cuenca;(16) Cuenca;C02;47
19;Guadalajara;(19) Guadalajara;C02;48
45;Toledo;(45) Toledo;C02;49
05;Ávila;(05) Ávila;C02;50
09;Burgos;(09) Burgos;C02;51
24;León;(24) León;C02;52
34;Palencia;(34) Palencia;C02;53
37;Salamanca;(37) Salamanca;C02;54
40;Segovia;(40) Segovia;C02;55
42;Soria;(42) Soria;C02;56
47;Valladolid;(47) Valladolid;C02;57
49;Zamora;(49) Zamora;C02;58
08;Barcelona;(08) Barcelona;C02;59
17;Gerona/Girona;(17) Gerona/Girona;C02;60
25;Lérida/Lleida;(25) Lérida/Lleida;C02;61
43;Tarragona;(43) Tarragona;C02;62
03;Alicante/Alacant;(03) Alicante/Alacant;C02;63
12;Castellón/Castelló;(12) Castellón/Castelló;C02;64
46;Valencia/València;(46) Valencia/València;C02;65
06;Badajoz;(06) Badajoz;C02;66
10;Cáceres;(10) Cáceres;C02;67
15;La Coruña/A Coruña;(15) La Coruña/A Coruña;C02;68
27;Lugo;(27) Lugo;C02;69
32;Orense/Ourense;(32) Orense/Ourense;C02;70
36;Pontevedra;(36) Pontevedra;C02;71
28;Madrid;(28) Madrid;C02;72
30;Murcia;(30) Murcia;C02;73
31;Navarra;(31) Navarra;C02;74
01;Álava/Araba;(01) Álava/Araba;C02;75
20;Guipúzcoa/Gipuzkoa;(20) Guipúzcoa/Gipuzkoa;C02;76
48;Vizcaya/Bizkaia;(48) Vizcaya/Bizkaia;C02;77
26;La Rioja;(26) La Rioja;C02;78
51;Ceuta;(51) Ceuta;C02;79
52;Melilla;(52) Melilla;C02;80
66NC00;Extranjero;(66NC00) Extranjero;;25
66NC0;Extranjero;(66NC0) Extranjero;;82
NP00;No procede;(NP00) No procede;;26
NP0;No procede;(NP0) No procede;;83
NC00;No consta;(NC00) No consta;;27
NC0;No consta;(NC0) No consta;;84
_Z;No aplica;No aplica;;
